Unnamed: 0,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto,is_attack
0,15,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,-0.7808688094430303,2.030258904551879,,-0.5388159060803247,0
1,16,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,2.030258904551879,0.1561737618886061,,2.334868926348074,0
2,31,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.7808688094430303,2.030258904551879,,-0.5388159060803247,0
3,32,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,2.030258904551879,-0.7808688094430303,,2.334868926348074,0
4,64,10,5,463,0.5,46.3,92.6,2.0,40034,80,6,10,463,5,2.030258904551879,0.1561737618886061,,-0.5388159060803247,0
5,72,10,4,676,0.4,67.6,169.0,2.5,80,40034,6,10,676,4,0.1561737618886061,2.030258904551879,,0.8980265101338746,0
6,73,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,0.1561737618886061,0.1561737618886061,,-0.5388159060803247,0
7,86,10,4,409,0.4,40.9,102.25,2.5,48272,80,6,10,409,4,0.1561737618886061,0.1561737618886061,,-0.5388159060803247,0
8,96,10,4,676,0.4,67.6,169.0,2.5,80,48272,6,10,676,4,0.1561737618886061,-0.7808688094430303,,0.8980265101338746,0
9,98,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.7808688094430303,2.030258904551879,,-0.5388159060803247,0
10,99,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,2.030258904551879,-0.7808688094430303,,2.334868926348074,0
0,15,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,-0.7808688094430303,2.030258904551879,,-0.5388159060803247,1
1,16,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,2.030258904551879,0.1561737618886061,,2.334868926348074,1
2,31,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.7808688094430303,2.030258904551879,,-0.5388159060803247,1
3,32,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,2.030258904551879,-0.7808688094430303,,2.334868926348074,1
4,64,10,5,463,0.5,46.3,92.6,2.0,40034,80,6,10,463,5,2.030258904551879,0.1561737618886061,,-0.5388159060803247,1
5,72,10,4,676,0.4,67.6,169.0,2.5,80,40034,6,10,676,4,0.1561737618886061,2.030258904551879,,0.8980265101338746,1
6,73,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,0.1561737618886061,0.1561737618886061,,-0.5388159060803247,1
7,86,10,4,409,0.4,40.9,102.25,2.5,48272,80,6,10,409,4,0.1561737618886061,0.1561737618886061,,-0.5388159060803247,1
8,96,10,4,676,0.4,67.6,169.0,2.5,80,48272,6,10,676,4,0.1561737618886061,-0.7808688094430303,,0.8980265101338746,1
9,98,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.7808688094430303,2.030258904551879,,-0.5388159060803247,1
10,99,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,2.030258904551879,-0.7808688094430303,,2.334868926348074,1
